source,target,synapses
ADAL,ADFL,1
ADAL,ASHL,1
ADAL,AVDR,2
ADAR,ADAL,1
ADAR,ADFR,1
ADAR,ASHR,1
ADAR,AVDL,2
ADAR,PVQR,1
ADLL,ADLR,1
ADLL,AVDR,1
ADLL,OLQVL,1
ADLL,RMGL,1
AFDL,AFDR,1
AFDL,AIBL,1
AFDR,AIBR,1
AIAL,ASIL,2
AIAL,AWAL,1
AIAR,ADFR,1
AIAR,AIAL,1
AIAR,ASIR,2
AIAR,AWAR,1
AINL,ADEL,1
AINL,ASGR,1
AINR,AINL,2
AINR,ASGL,1
AIYL,RIML,1
AIYR,AIYL,1
AIYR,RIMR,1
AIZL,AIZR,2
AIZL,ASHL,1
AIZR,ASHR,1
ALML,AVM,1
ALML,PVR,1
ALMR,AVM,1
ALNL,SMBDR,1
AS10,AVAL,1
AS11,PDB,2
AS2,DA2,1
AS3,DA2,1
AS4,DA3,1
AS6,DA5,2
ASGL,AIZL,1
ASGR,AIZR,1
ASHL,ASHR,1
ASIL,ASIR,1
ASJL,ASJR,1
ASKL,RMGL,1
ASKR,ASHR,1
ASKR,ASKL,1
ASKR,PVQR,4
ASKR,RMGR,1
AUAL,AINR,1
AUAL,AUAR,1
AUAR,AINL,1
AVAL,AS1,3
AVAL,AS3,2
AVAL,AS5,1
AVAL,AS6,1
AVAL,AS7,6
AVAL,AS8,4
AVAL,AS9,4
AVAL,DA1,2
AVAL,DA2,2
AVAL,DA4,3
AVAL,DA5,1
AVAL,DA6,10
AVAL,DA7,2
AVAL,LUAL,1
AVAL,PVCL,2
AVAL,PVCR,5
AVAL,PVPL,1
AVAL,RIMR,3
AVAL,SABD,4
AVAL,SABVR,1
AVAL,SDQR,1
AVAL,URYVR,1
AVAL,VA10,1
AVAL,VA11,1
AVAL,VB9,5
AVAR,AS1,2
AVAR,AS10,1
AVAR,AS3,1
AVAR,AS5,1
AVAR,AS6,1
AVAR,AS7,5
AVAR,AS8,3
AVAR,AS9,1
AVAR,AVAL,5
AVAR,DA1,6
AVAR,DA2,2
AVAR,DA3,2
AVAR,DA4,2
AVAR,DA5,5
AVAR,DA6,2
AVAR,DA8,1
AVAR,PVCR,3
AVAR,RIML,2
AVAR,RIMR,1
AVAR,SABVL,3
AVAR,SABVR,1
AVAR,URYDR,1
AVAR,URYVL,1
AVAR,VA10,1
AVAR,VA11,7
AVAR,VA12,1
AVAR,VA3,2
AVAR,VA4,3
AVAR,VA5,3
AVAR,VA6,2
AVAR,VA7,4
AVAR,VA8,4
AVAR,VB9,4
AVBL,AQR,1
AVBL,AS7,2
AVBL,DVA,1
AVBL,SDQR,1
AVBL,SIBVL,1
AVBL,VB1,1
AVBL,VB10,2
AVBL,VB11,2
AVBL,VB2,3
AVBL,VB5,1
AVBL,VB6,1
AVBL,VB7,2
AVBL,VB8,7
AVBL,VB9,1
AVBR,AS6,1
AVBR,AS7,2
AVBR,AVBL,3
AVBR,DB4,1
AVBR,DD1,1
AVBR,DVA,1
AVBR,PVNL,2
AVBR,SIBVL,1
AVBR,VB10,1
AVBR,VB11,1
AVBR,VB2,1
AVBR,VB3,1
AVBR,VB6,2
AVBR,VB7,2
AVBR,VB8,3
AVBR,VB9,6
AVEL,AVER,1
AVEL,RMDVR,1
AVER,RMDVL,1
AVER,RMDVR,1
AVFL,AVFR,23
AVFR,VC4,1
AVHL,AVFL,2
AVHL,AVFR,2
AVHL,AVHR,1
AVHL,PHBR,1
AVHR,AVFL,3
AVHR,AVFR,1
AVJL,AVAL,2
AVJL,AVDR,2
AVJL,PVCL,1
AVJL,PVCR,3
AVJR,AVJL,4
AVJR,PVCL,1
AVKL,ADER,1
AVKL,AQR,2
AVKL,PVPL,1
AVKL,PVPR,1
AVKL,SMBVR,1
AVKR,ADEL,1
AVKR,AQR,1
AVKR,AVKL,2
AVKR,PVPL,6
AVKR,SMBVR,1
AVL,DVB,1
AVL,DVC,9
AVL,PVM,1
AVM,AVDL,2
AWAR,AIZR,1
AWAR,AWAL,1
AWBL,AUAL,1
AWBL,RMGL,1
AWBR,AUAR,1
AWBR,AWBL,1
AWBR,RICL,1
AWBR,RMGR,1
BAGL,RIR,1
BAGR,BAGL,1
BAGR,RIGL,1
BAGR,RIR,1
BDUR,PLMR,1
CEPDL,OLQDL,1
CEPDR,OLQDR,2
CEPVL,OLQVL,1
CEPVL,RIH,1
CEPVR,OLQVR,1
CEPVR,RIH,1
DA4,DA1,1
DA8,DA9,1
DB1,AIBR,1
DB1,AVBR,3
DB1,DB2,1
DB1,DB4,1
DB1,DVA,1
DB1,RID,1
DB1,RIS,1
DB1,VB3,1
DB2,AVBR,1
DB2,VB1,2
DB3,AVBL,1
DB3,AVBR,1
DB3,DA4,1
DB3,DB2,6
DB3,DB4,1
DB4,AVBL,1
DB4,VB2,1
DB5,AVAR,2
DB5,AVBL,1
DB5,AVBR,1
DB6,AVAL,3
DB6,AVBL,2
DB6,AVBR,1
DB7,AVBL,2
DB7,AVBR,1
DD2,DD1,1
DD2,VD4,2
DD3,DD2,2
DD3,DD4,1
DD4,VC3,1
DD4,VD8,1
DVA,PVCL,1
DVA,PVR,2
DVB,AS9,7
DVB,VB9,1
DVC,AIBL,1
DVC,AIBR,2
DVC,PVPL,2
DVC,PVPR,13
FLPL,AVAL,1
FLPL,AVDL,1
FLPR,AVDL,1
FLPR,AVDR,1
FLPR,FLPL,2
GLRDR,RMED,1
GLRVR,RMEV,1
HSNL,HSNR,1
HSNR,PVNR,1
I1R,I1L,1
I1R,I5,1
I1R,RIPL,1
I2L,I1L,1
I2L,I1R,1
I2L,M1,2
I2R,I1L,1
I2R,I1R,1
I2R,M1,2
I4,M1,1
I4,MI,1
I5,I1L,1
IL1DL,IL1DR,1
IL1DL,IL1L,1
IL1DL,OLLL,1
IL1DL,RMEV,1
IL1R,IL1DR,1
IL1R,IL1VR,1
IL1VL,IL1L,1
IL1VL,IL1VR,1
IL2L,RMGL,1
IL2R,IL1VR,1
IL2R,RMGR,1
IL2R,URXR,1
M1,I3,1
M1,MI,1
M2L,I3,1
M2L,M4,1
M2L,M5,2
M2L,MCL,2
M2L,MCR,2
M2L,MI,2
M2R,I3,1
M2R,M2L,1
M2R,M3L,1
M2R,M3R,1
M2R,M4,1
M2R,M5,2
M2R,MCL,2
M2R,MCR,2
M2R,MI,2
M3L,MCR,1
M3R,M3L,1
M3R,MCL,1
M3R,MCR,1
M3R,MI,1
M4,I6,1
M4,M4,6
M5,I5,2
M5,I6,2
M5,M4,1
M5,M5,4
MCL,M3L,1
MI,I1L,1
MI,I1R,1
MI,I3,1
MI,I5,2
MI,M3L,1
MI,MCL,2
MI,MCR,2
OLLL,OLLR,2
OLLL,RIGL,1
OLLR,IL1DR,1
OLLR,RIGR,1
OLQDL,RIGL,1
OLQDL,RMDVL,1
OLQDL,URBL,1
OLQDR,RIGR,1
OLQDR,RMDVR,1
OLQVL,RIGL,1
OLQVL,RMDDL,1
OLQVL,URBL,1
OLQVR,RIGR,1
PDA,DA9,1
PDEL,PDER,3
PDEL,PVCR,1
PDEL,PVM,1
PHAL,PHAR,2
PHAR,PVPL,3
PHBR,PHBL,3
PHCL,DA9,1
PHCR,PHCL,1
PHCR,PVCR,1
PHCR,VA12,1
PLML,BDUL,1
PLML,LUAL,1
PLML,PHCL,1
PLML,PVCL,1
PLMR,LUAR,1
PLMR,PVCR,1
PLMR,PVR,2
PQR,PVPL,4
PVCR,PVCL,5
PVM,PDER,1
PVPL,AQR,7
PVPL,PVPR,1
PVPR,AQR,9
PVQL,ADAL,1
PVQL,ASKL,5
PVQL,PVQR,2
PVQR,AVFL,1
PVQR,PVNL,1
PVR,LUAL,1
PVR,LUAR,1
PVT,AIBL,1
PVT,AIBR,1
PVT,AVKL,2
PVT,PVPL,1
PVWL,PVCR,2
PVWR,PVCR,1
RIBL,AVBL,1
RIBL,AVBR,1
RIBL,OLQDL,2
RIBL,OLQVL,1
RIBL,PVT,1
RIBL,RIBL,1
RIBL,RIGL,1
RIBL,SIADL,1
RIBL,SIAVL,1
RIBL,SIBDL,1
RIBL,SIBVL,1
RIBL,SIBVR,1
RIBL,SMBDL,1
RIBL,SMDDL,1
RIBL,SMDVR,2
RIBR,AVBL,1
RIBR,AVBR,1
RIBR,OLQDR,2
RIBR,OLQVR,1
RIBR,PVT,1
RIBR,RIBL,3
RIBR,RIBR,1
RIBR,RIGR,1
RIBR,SIADR,1
RIBR,SIAVR,1
RIBR,SIBDR,1
RIBR,SIBVR,1
RIBR,SMBDR,1
RIBR,SMDDL,1
RIBR,SMDDR,1
RIBR,SMDVL,2
RICL,ASHL,2
RICL,AVKL,1
RICL,AVKR,1
RICR,ASHR,2
RICR,AVKL,1
RID,ALA,1
RID,AVBL,1
RID,AVBR,2
RID,DA9,1
RID,PDB,2
RID,RID,1
RIFL,AVG,1
RIFR,AVG,1
RIGL,AIBR,3
RIGL,AQR,2
RIGL,AVKL,1
RIGL,RIGR,3
RIGL,VB2,1
RIGR,AIBL,3
RIGR,AQR,1
RIGR,AVKR,1
RIGR,BAGL,1
RIH,CEPDL,1
RIH,CEPDR,1
RIH,FLPL,1
RIH,OLQDR,1
RIML,AIBR,1
RIML,AVEL,2
RIML,AVER,3
RIMR,AIBL,1
RIMR,AVEL,3
RIMR,AVER,2
RIPR,I1L,1
RIS,AIBR,1
RIS,AVJL,1
RIS,RIML,1
RIS,RIMR,1
RIS,SMDDL,1
RIS,SMDDR,1
RIS,SMDVL,1
RIVL,AIBL,1
RIVL,RIVR,2
RIVL,SDQR,2
RIVR,AIBR,1
RIVR,SDQR,2
RMDDL,RMDL,1
RMDDL,RMDVL,1
RMDDR,OLQVR,1
RMDDR,RMDVR,1
RMDDR,SAADR,1
RMDDR,SMDDR,1
RMDL,RMDVL,1
RMDR,RMDVR,1
RMDVR,RMDVL,1
RMED,GLRDL,1
RMED,IL1VL,1
RMED,RIPL,1
RMED,RIPR,1
RMEL,GLRL,1
RMEL,RIGL,1
RMER,GLRR,1
RMER,RMEV,1
RMEV,AVEL,1
RMEV,AVER,1
RMEV,GLRVL,1
RMEV,IL1DR,1
RMEV,RMED,2
RMEV,RMEL,1
RMGL,ASHL,1
RMGL,RMHL,3
RMGR,ASHR,1
RMHR,RMGR,1
SAADL,SMBDL,1
SAAVL,RMDVL,1
SAAVL,SMBVR,3
SAAVR,RMDVR,1
SAAVR,SMBVL,2
SABVL,DA1,2
SABVL,DA2,1
SABVR,DA1,3
SDQL,SDQR,1
SIBDL,SIBVL,1
SIBDR,AIML,1
SIBVL,SDQR,1
SIBVR,RMHL,1
SIBVR,SIBDR,1
SMBDL,AVKL,1
SMBDL,AVKR,1
SMBDR,AVKL,1
SMBDR,AVKR,2
SMDDL,RMDDL,1
SMDDR,VD1,1
SMDVL,RIVL,1
SMDVL,RMDVL,1
SMDVR,RIVR,2
SMDVR,RMDVR,1
SMDVR,SMDVL,1
SMDVR,VB1,1
URBR,OLQDR,1
URBR,OLQVR,1
URBR,RMFL,1
URXL,RMGL,1
URXR,RMGR,1
URYDL,AVAL,1
URYDL,RIGL,1
URYDR,RIGR,1
URYVL,RIGL,1
URYVR,RIGR,1
VA1,AVAL,3
VA1,DA2,2
VA12,PHCL,1
VA12,VB11,1
VA2,AVAL,4
VA2,SABD,3
VA2,VD1,1
VA2,VD2,3
VA3,AS1,1
VA3,AVAL,1
VA3,SABD,2
VA4,AS2,2
VA4,AVAL,1
VA4,DA5,1
VA4,SABD,1
VA5,AS3,2
VA5,AVAL,5
VA5,DA5,2
VA6,AVAL,6
VA7,AS5,1
VA7,AVAL,2
VA7,VB3,1
VA8,AS6,1
VA8,AVAL,10
VA8,AVBR,1
VA8,PDER,1
VA8,PVCR,2
VA8,VA8,1
VA8,VB8,3
VA8,VB9,3
VA8,VD8,1
VA9,AVAL,1
VA9,AVBR,1
VA9,DVB,1
VA9,DVC,1
VA9,PVCR,1
VA9,VB8,1
VA9,VB9,4
VB1,AVKL,4
VB10,AVKL,1
VB10,PVCL,1
VB2,VB1,4
VB2,VB5,1
VB3,VB2,1
VB4,AVBL,1
VB4,AVBR,1
VB4,DB1,1
VB4,DB4,1
VB4,VB5,1
VB6,DA4,1
VB6,VB5,1
VB7,VB2,2
VB9,PVCL,2
VB9,VB8,3
VC1,VC2,6
VC1,VC3,2
VC3,VC2,2
VC3,VC4,1
VC3,VC5,2
VC4,VC5,1
VD1,DD1,4
VD1,DVC,5
VD1,RIFL,1
VD1,RIGL,2
VD1,VC1,1
VD1,VD2,7
VD10,AVBR,1
VD10,DD5,1
VD10,DVC,4
VD10,VD9,5
VD13,PVPL,2
VD2,AS1,1
VD2,DD1,2
VD2,VD3,2
VD3,PVPL,1
VD4,PVPR,1
VD4,VD3,1
VD5,PVPR,1
VD5,VD4,1
VD5,VD6,2
VD7,VA9,1
VD7,VD6,1
VD9,PDER,1